都道府県名	資料種別	元のTSVファイル名	input_file	graph	output_file	json_file	保存されていたフォルダ名
山形	議会会議録	relation.tsv	酒田市  令和　３年　　６月　定例会（第４回）  06月24日－06号.txt	https://kozaki-lab.jp/REFV-KG/docs/00155	Graph_00155.trig	.\output\json\Graph_00155.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　３年　　９月　定例会（第６回）  09月15日－04号.txt	https://kozaki-lab.jp/REFV-KG/docs/00156	Graph_00156.trig	.\output\json\Graph_00156.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　３年　　９月　定例会（第６回）  09月16日－05号.txt	https://kozaki-lab.jp/REFV-KG/docs/00157	Graph_00157.trig	.\output\json\Graph_00157.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　３年　１２月　定例会（第８回）  12月21日－04号.txt	https://kozaki-lab.jp/REFV-KG/docs/00158	Graph_00158.trig	.\output\json\Graph_00158.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　３年　１２月　定例会（第８回）  12月22日－05号.txt	https://kozaki-lab.jp/REFV-KG/docs/00159	Graph_00159.trig	.\output\json\Graph_00159.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　４年　　３月　定例会（第１回）  02月28日－02号.txt	https://kozaki-lab.jp/REFV-KG/docs/00160	Graph_00160.trig	.\output\json\Graph_00160.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　４年　　３月　定例会（第１回）  03月02日－03号.txt	https://kozaki-lab.jp/REFV-KG/docs/00161	Graph_00161.trig	.\output\json\Graph_00161.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　４年　　３月　定例会（第１回）  03月15日－07号.txt	https://kozaki-lab.jp/REFV-KG/docs/00162	Graph_00162.trig	.\output\json\Graph_00162.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　４年　　３月　定例会（第１回）  03月17日－08号.txt	https://kozaki-lab.jp/REFV-KG/docs/00163	Graph_00163.trig	.\output\json\Graph_00163.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　４年　　９月　定例会（第６回）  09月12日－01号.txt	https://kozaki-lab.jp/REFV-KG/docs/00164	Graph_00164.trig	.\output\json\Graph_00164.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　４年　１２月　定例会（第７回）  12月14日－05号.txt	https://kozaki-lab.jp/REFV-KG/docs/00165	Graph_00165.trig	.\output\json\Graph_00165.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　５年　　３月　定例会（第２回）  02月27日－02号.txt	https://kozaki-lab.jp/REFV-KG/docs/00166	Graph_00166.trig	.\output\json\Graph_00166.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　５年　　３月　定例会（第２回）  03月01日－03号.txt	https://kozaki-lab.jp/REFV-KG/docs/00167	Graph_00167.trig	.\output\json\Graph_00167.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　５年　　９月　定例会（第７回）  09月29日－01号.txt	https://kozaki-lab.jp/REFV-KG/docs/00168	Graph_00168.trig	.\output\json\Graph_00168.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　５年　　９月　定例会（第７回）  10月03日－02号.txt	https://kozaki-lab.jp/REFV-KG/docs/00169	Graph_00169.trig	.\output\json\Graph_00169.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　５年　　９月　定例会（第７回）  10月23日－06号.txt	https://kozaki-lab.jp/REFV-KG/docs/00170	Graph_00170.trig	.\output\json\Graph_00170.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　５年　１２月　定例会（第９回）  12月18日－04号.txt	https://kozaki-lab.jp/REFV-KG/docs/00171	Graph_00171.trig	.\output\json\Graph_00171.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　５年　１２月　定例会（第９回）  12月19日－05号.txt	https://kozaki-lab.jp/REFV-KG/docs/00172	Graph_00172.trig	.\output\json\Graph_00172.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　６年　　３月　定例会（第２回）  02月27日－02号.txt	https://kozaki-lab.jp/REFV-KG/docs/00173	Graph_00173.trig	.\output\json\Graph_00173.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　６年　　３月　定例会（第２回）  02月29日－03号.txt	https://kozaki-lab.jp/REFV-KG/docs/00174	Graph_00174.trig	.\output\json\Graph_00174.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　６年　　６月　定例議会（第２回）  06月17日－05号.txt	https://kozaki-lab.jp/REFV-KG/docs/00175	Graph_00175.trig	.\output\json\Graph_00175.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　６年　　６月　定例議会（第２回）  06月18日－06号.txt	https://kozaki-lab.jp/REFV-KG/docs/00176	Graph_00176.trig	.\output\json\Graph_00176.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　６年　　９月　定例議会（第６回）  09月25日－01号.txt	https://kozaki-lab.jp/REFV-KG/docs/00177	Graph_00177.trig	.\output\json\Graph_00177.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	酒田市  令和　６年　　９月　定例議会（第６回）  09月30日－02号.txt	https://kozaki-lab.jp/REFV-KG/docs/00178	Graph_00178.trig	.\output\json\Graph_00178.trig.json	山形\酒田市議会会議録
山形	議会会議録	relation.tsv	鶴岡市  令和　　元年　　６月　定例会  06月10日－04号.txt	https://kozaki-lab.jp/REFV-KG/docs/00179	Graph_00179.trig	.\output\json\Graph_00179.trig.json	山形\鶴岡市議会会議録
山形	議会会議録	relation.tsv	鶴岡市  令和　　２年　　９月　定例会  09月03日－02号.txt	https://kozaki-lab.jp/REFV-KG/docs/00180	Graph_00180.trig	.\output\json\Graph_00180.trig.json	山形\鶴岡市議会会議録
山形	議会会議録	relation.tsv	鶴岡市  令和　　２年　　９月　定例会  09月04日－03号.txt	https://kozaki-lab.jp/REFV-KG/docs/00181	Graph_00181.trig	.\output\json\Graph_00181.trig.json	山形\鶴岡市議会会議録
山形	議会会議録	relation.tsv	鶴岡市  令和　　２年　　９月　定例会  09月07日－04号.txt	https://kozaki-lab.jp/REFV-KG/docs/00182	Graph_00182.trig	.\output\json\Graph_00182.trig.json	山形\鶴岡市議会会議録
山形	議会会議録	relation.tsv	鶴岡市  令和　　２年　１２月　定例会  12月03日－02号.txt	https://kozaki-lab.jp/REFV-KG/docs/00183	Graph_00183.trig	.\output\json\Graph_00183.trig.json	山形\鶴岡市議会会議録
山形	議会会議録	relation.tsv	鶴岡市  令和　　３年　　９月　定例会  09月02日－02号.txt	https://kozaki-lab.jp/REFV-KG/docs/00184	Graph_00184.trig	.\output\json\Graph_00184.trig.json	山形\鶴岡市議会会議録
山形	議会会議録	relation.tsv	鶴岡市  令和　　４年　　３月　定例会  03月03日－02号.txt	https://kozaki-lab.jp/REFV-KG/docs/00185	Graph_00185.trig	.\output\json\Graph_00185.trig.json	山形\鶴岡市議会会議録
山形	議会会議録	relation.tsv	鶴岡市  令和　　４年　　９月　定例会  09月12日－04号.txt	https://kozaki-lab.jp/REFV-KG/docs/00186	Graph_00186.trig	.\output\json\Graph_00186.trig.json	山形\鶴岡市議会会議録
山形	議会会議録	relation.tsv	鶴岡市  令和　　４年　１２月　定例会  12月02日－03号.txt	https://kozaki-lab.jp/REFV-KG/docs/00187	Graph_00187.trig	.\output\json\Graph_00187.trig.json	山形\鶴岡市議会会議録
山形	議会会議録	relation.tsv	鶴岡市  令和　　５年　　３月　定例会  03月02日－02号.txt	https://kozaki-lab.jp/REFV-KG/docs/00188	Graph_00188.trig	.\output\json\Graph_00188.trig.json	山形\鶴岡市議会会議録
山形	議会会議録	relation.tsv	鶴岡市  令和　　５年　　３月　定例会  03月03日－03号.txt	https://kozaki-lab.jp/REFV-KG/docs/00189	Graph_00189.trig	.\output\json\Graph_00189.trig.json	山形\鶴岡市議会会議録
山形	議会会議録	relation.tsv	鶴岡市  令和　　５年　　６月　定例会  06月16日－03号.txt	https://kozaki-lab.jp/REFV-KG/docs/00190	Graph_00190.trig	.\output\json\Graph_00190.trig.json	山形\鶴岡市議会会議録
山形	議会会議録	relation.tsv	鶴岡市  令和　　５年　　６月　定例会  06月30日－06号.txt	https://kozaki-lab.jp/REFV-KG/docs/00191	Graph_00191.trig	.\output\json\Graph_00191.trig.json	山形\鶴岡市議会会議録
山形	議会会議録	relation.tsv	鶴岡市  令和　　５年　　９月　定例会  09月11日－04号.txt	https://kozaki-lab.jp/REFV-KG/docs/00192	Graph_00192.trig	.\output\json\Graph_00192.trig.json	山形\鶴岡市議会会議録
山形	議会会議録	relation.tsv	鶴岡市  令和　　６年　　６月　定例会  06月07日－03号.txt	https://kozaki-lab.jp/REFV-KG/docs/00193	Graph_00193.trig	.\output\json\Graph_00193.trig.json	山形\鶴岡市議会会議録
山形	議会会議録	relation.tsv	鶴岡市  令和　　６年　　９月　定例会  09月06日－03号.txt	https://kozaki-lab.jp/REFV-KG/docs/00194	Graph_00194.trig	.\output\json\Graph_00194.trig.json	山形\鶴岡市議会会議録
山形	議会会議録	relation.tsv	鶴岡市  平成　２８年　１２月　定例会  12月05日－04号.txt	https://kozaki-lab.jp/REFV-KG/docs/00195	Graph_00195.trig	.\output\json\Graph_00195.trig.json	山形\鶴岡市議会会議録
山形	議会会議録	relation.tsv	鶴岡市  平成　３１年　　３月　定例会  03月04日－03号.txt	https://kozaki-lab.jp/REFV-KG/docs/00196	Graph_00196.trig	.\output\json\Graph_00196.trig.json	山形\鶴岡市議会会議録
